full_title,abbrev,page_key,source_url
"10TH ANNUAL REVIEW OF PROGRESS IN APPLIED COMPUTATIONAL ELECTROMAGNETICS, CONFERENCE PROCEEDINGS, VOL II",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH ANNUAL SYMPOSIUM ON MICROLITHOGRAPHY,P SOC PHOTO-OPT INS,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH ASEAN CONGRESS OF ANAESTHESIOLOGISTS / 2ND MEETING OF ASIAN SOCIETY OF CARDIOTHORACIC ANAESTHESIA,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH ASIAN INTERNATIONAL CONFERENCE ON FLUID MACHINERY,AIP CONF PROC,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH ASIAN TEST SYMPOSIUM, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH ASIAN-PACIFIC CONGRESS OF HYPERTENSION,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH AUSTRALIAN TUNNELLING CONFERENCE - THE RACE FOR SPACE: KEYNOTE ADDRESSES AND ASIA-PACIFIC FORUM,AUSTRALAS I MIN MET,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH AUSTRALIAN TUNNELLING CONFERENCE - THE RACE FOR SPACE: PROCEEDINGS,AUSTRALAS I MIN MET,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH COMPUTER SECURITY FOUNDATIONS WORKSHOP, PROCEEDINGS",P IEEE CSFW,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH CONFERENCE ON APPLIED CLIMATOLOGY,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH CONFERENCE ON AVIATION, RANGE, AND AEROSPACE METEOROLOGY",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH CONFERENCE ON BRITISH AND AMERICAN STUDIES - CROSSING BOUNDARIES: APPROACHES TO THE CONTEMPORARY MULTICULTURAL DISCOURSE,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH CONFERENCE ON HOPPING AND RELATED PHENOMENA HRP10, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH CONFERENCE ON MOUNTAIN METEOROLOGY,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH CONFERENCE ON THE SMALL CITY AND REGIONAL COMMUNITY,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH CONGRESS OF THE EUROPEAN ASSOCIATION FOR CLINICAL PHARMACOLOGY AND THERAPEUTICS EACPT,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH CONGRESS OF THE EUROPEAN SOCIETY FOR GYNAECOLOGICAL ENDOSCOPY, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH CURTIN UNIVERSITY TECHNOLOGY SCIENCE AND ENGINEERING INTERNATIONAL CONFERENCE CUTSE2015,IOP CONF SER-MAT SCI,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH ECO-ENERGY AND MATERIALS SCIENCE AND ENGINEERING SYMPOSIUM,ENRGY PROCED,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH ESEE: EUROPEAN SYMPOSIUM ON ELECTROCHEMICAL ENGINEERING,CHEM ENGINEER TRANS,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH EUROMICRO WORKSHOP ON PARALLEL, DISTRIBUTED AND NETWORK-BASED PROCESSING, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH EUROMICRO WORKSHOP ON REAL-TIME SYSTEMS, PROCEEDINGS",EUROMICRO,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH EUROPEAN BIOLOGICAL INORGANIC CHEMISTRY CONFERENCE EUROBIC10,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH EUROPEAN CONFERENCE ON EARTHQUAKE ENGINEERING, PROCEEDINGS, VOLS 1-4",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH EUROPEAN CONFERENCE ON MIXING,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH EUROPEAN CONFERENCE ON SYNTHETIC APERTURE RADAR EUSAR 2014,EUSAR PROC,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH EUROPEAN CONFERENCE ON TURBOMACHINERY: FLUID DYNAMICS AND THERMODYNAMICS,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH EUROPEAN SPACE MECHANISMS AND TRIBOLOGY SYMPOSIUM, PROCEEDINGS",ESA SP PUBL,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH EUROPEAN SYMPOSIUM ON PAEDIATRIC COCHLEAR IMPLANTATION,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH EUROPEAN WORKSHOP ON MICROELECTRONICS EDUCATION EWME,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH IEEE INTERNATIONAL CONFERENCE ON ADVANCED THERMAL PROCESSING OF SEMICONDUCTORS - RTP 2002,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH IEEE INTERNATIONAL CONFERENCE ON EMERGING ELEARNING TECHNOLOGIES AND APPLICATIONS ICETA 2012,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS, VOLS 1-3",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH IEEE INTERNATIONAL CONFERENCE ON NETWORK PROTOCOLS, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH IEEE INTERNATIONAL CONFERENCE ON NETWORKS ICON 2002, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH IEEE INTERNATIONAL CONFERENCE ON SERVICE OPERATIONS AND LOGISTICS, AND INFORMATICS SOLI 2015",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH IEEE INTERNATIONAL ON-LINE TESTING SYMPOSIUM, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH IEEE INTERNATIONAL SYMPOSIUM ON HIGH PERFORMANCE DISTRIBUTED COMPUTING, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH IEEE INTERNATIONAL WORKSHOP ON FUTURE TRENDS OF DISTRIBUTED COMPUTING SYSTEMS, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH IEEE INTERNATIONAL WORKSHOP ON FUTURE TRENDS OF DISTRIBUTED COMPUTING SYSTEMS, PROCEEDINGS",INT WKSHP FUT TR DIS,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH IEEE PACIFIC RIM INTERNATIONAL SYMPOSIUM ON DEPENDABLE COMPUTING, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH IEEE SYMPOSIUM ON COMPUTER ARITHMETIC,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH IEEE SYMPOSIUM ON COMPUTERS AND COMMUNICATIONS, PROCEEDINGS",IEEE SYMP COMP COMMU,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH IEEE WORKSHOP ON LOCAL AND METROPOLITAN AREA NETWORKS, SELECTED PAPERS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH IFAC WORKSHOP ON PROGRAMMABLE DEVICES AND EMBEDDED SYSTEMS PDEES 2010,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL COCOA RESEARCH CONFERENCE,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL COLD FORGING CONGRESS 2000,VDI BERICHT,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL CONFERENCE ON ADVANCED COMMUNICATION TECHNOLOGY, VOLS I-III",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON AUTOMATED DEDUCTION,LECT NOTES ARTIF INT,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON CLUSTERING ASPECTS OF NUCLEAR STRUCTURE AND DYNAMICS CLUSTER'12,J PHYS CONF SER,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON COMPUTER APPLICATIONS IN INDUSTRY AND ENGINEERING,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE & EDUCATION ICCSE 2015,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON CONCENTRATOR PHOTOVOLTAIC SYSTEMS CPV-10,AIP CONF PROC,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING SYSTEMS,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON FRONTIERS OF INFORMATION TECHNOLOGY FIT 2012,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON FUTURE NETWORKS AND COMMUNICATIONS FNC 2015 / THE 12TH INTERNATIONAL CONFERENCE ON MOBILE SYSTEMS AND PERVASIVE COMPUTING MOBISPC 2015 AFFILIATED WORKSHOPS,PROCEDIA COMPUT SCI,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES,ENRGY PROCED,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON GROUND CONTROL IN MINING,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL CONFERENCE ON HARMONICS AND QUALITY OF POWER, VOLS I AND II, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL CONFERENCE ON HARMONICS AND QUALITY OF POWER, VOLS I AND II, PROCEEDINGS",INT C HARMON QUAL PO,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON MATERIALS AND MECHANISMS OF SUPERCONDUCTIVITY M2S-X,J PHYS CONF SER,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL CONFERENCE ON MATHEMATICAL METHODS IN ELECTROMAGNETIC THEORY,  CONFERENCE PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL CONFERENCE ON MATHEMATICAL PROBLEMS IN ENGINEERING, AEROSPACE AND SCIENCES ICNPAA 2014",AIP CONF PROC,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON MECHANICAL ENGINEERING ICME 2013,PROCEDIA ENGINEER,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL CONFERENCE ON SHALLOW LEVEL CENTERS IN SEMICONDUCTORS SLCS-10, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON SIGNAL-IMAGE TECHNOLOGY AND INTERNET-BASED SYSTEMS SITIS 2014,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON SOFT COMPUTING MODELS IN INDUSTRIAL AND ENVIRONMENTAL APPLICATIONS,ADV INTELL SYST,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON SOLID STATE CHEMISTRY,PHYSCS PROC,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON VIBRATION MEASUREMENTS BY LASER AND NONCONTACT TECHNIQUES - AIVELA 2012,AIP CONF PROC,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE ON X-RAY MICROSCOPY,AIP CONF PROC,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONFERENCE PROCESSES IN ISOTOPES AND MOLECULES PIM 2015,AIP CONF PROC,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL CONGRESS ON IMMUNOLOGY, VOLS 1 AND 2",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL CONGRESS ON SENOLOGY - BREAST DISEASES OF THE SENOLOGIC INTERNATIONAL SOCIETY,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL DESIGN CONFERENCE - DESIGN 2008, VOLS 1 AND 2",DES SOC PUB DS,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL LISA SYMPOSIUM,J PHYS CONF SER,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL MEETING OF GYNAECOLOGICAL ONCOLOGY,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL MULTIDISCIPLINARY SCIENTIFIC GEOCONFERENCE: SGEM 2010, VOL I",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL MULTIDISCIPLINARY SCIENTIFIC GEOCONFERENCE: SGEM 2010, VOL II",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL MULTIDISCIPLINARY SCIENTIFIC GEOCONFERENCE: SGEM 2010, VOL II",INT MULTI SCI GEOCO,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL MULTIMEDIA MODELLING CONFERENCE, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL PARALLEL PROCESSING SYMPOSIUM - PROCEEDINGS OF IPPS '96,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL SPRING SEMINAR ON NUCLEAR PHYSICS: NEW QUESTS IN NUCLEAR STRUCTURE,J PHYS CONF SER,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL STRATEGIC MANAGEMENT CONFERENCE 2014,PROCD SOC BEHV,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL SYMPOSIUM ON AERODYNAMICS AND VENTILATION OF VEHICLE TUNNELS,BHR GR CONF SER PUBL,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL SYMPOSIUM ON ASYNCHRONOUS CIRCUITS AND SYSTEMS,  PROCEEDINGS",PR INT SYMP ADV RES,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL SYMPOSIUM ON HIGH PERFORMANCE COMPUTER ARCHITECTURE, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL SYMPOSIUM ON MEDICAL INFORMATION PROCESSING AND ANALYSIS,PROC SPIE,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL SYMPOSIUM ON NANOSTRUCTURES: PHYSICS AND TECHNOLOGY,P SOC PHOTO-OPT INS,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL SYMPOSIUM ON ORIGIN OF MATTER AND EVOLUTION OF GALAXIES,AIP CONF PROC,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL SYMPOSIUM ON PROCESS SYSTEMS ENGINEERING,COMPUT-AIDED CHEM EN,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL SYMPOSIUM ON PROCESS SYSTEMS ENGINEERING: PART A,COMPUT-AIDED CHEM EN,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL SYMPOSIUM ON SOFTWARE METRICS, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL SYMPOSIUM ON THERAPEUTIC ULTRASOUND ISTU 2010,AIP CONF PROC,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL SYMPOSIUM ON THERAPUTIC ULTRASOUND ISTU 2010,AIP CONF PROC,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL WORKSHOP ON AUTOMATION OF SOFTWARE TEST AST 2015,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL WORKSHOP ON PETRI NETS AND PERFORMANCE MODELS, PROCEEDINGS",INT WORKSH PETRI NET,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL WORKSHOP ON PROGRAM COMPREHENSION, PROCEEDINGS",PROG COMPREHEN,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH INTERNATIONAL WORKSHOP ON SEMANTIC AND SOCIAL MEDIA ADAPTATION AND PERSONALIZATION SMAP 2015,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL WORKSHOP ON SEPARATION PHENOMENA IN LIQUIDS AND GASES, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH INTERNATIONAL WORKSHOP ON SOFTWARE TECHNOLOGY AND ENGINEERING PRACTICE, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH ITALIAN RESEARCH CONFERENCE ON DIGITAL LIBRARIES IRCDL 2014,PROCEDIA COMPUT SCI,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH JOINT CONFERENCE ON CHEMISTRY,IOP CONF SER-MAT SCI,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH JOINT CONFERENCE ON THE APPLICATIONS OF AIR POLLUTION METEOROLOGY WITH THE A&WMA,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH KNOWLEDGE-BASED SOFTWARE ENGINEERING CONFERENCE, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH MANUEL M. BAIZER MEMORIAL SYMPOSIUM ON ORGANIC ELECTROCHEMISTRY,ECS TRANSACTIONS,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH MEDITERRANEAN CONGRESS OF CHEMOTHERAPY,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH MEETING ON OPTICAL ENGINEERING IN ISRAEL,P SOC PHOTO-OPT INS,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH OXFORD DYSFLUENCY CONFERENCE, ODC 2014",PROCD SOC BEHV,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH PACIFIC CONFERENCE ON COMPUTER GRAPHICS AND APPLICATIONS, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH PROCESS TECHNOLOGY CONFERENCE PROCEEDINGS - 2ND INTERNATIONAL SYMPOSIUM ON MODELING IN THE IRON AND STEEL INDUSTRY,PROC TECH C,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH SYMPOSIUM ON EDUCATION,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH SYMPOSIUM ON HAPTIC INTERFACES FOR VIRTUAL ENVIRONMENT AND TELEOPERATOR SYSTEMS, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
